roll_no,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time
S104421,73.75,4.21,0.77,14.23,2024-01-27
S104422,61.86,1.6,0.24,14.57,02-12-2024
S104423,63.02,3.74,0.04,11.36,03/05/2024
S104424,100.0,2.51,0.31,17.47,2024-03-08
S104425,80.1%,1.21,3.0,19.13,04-03-2024
S104426,72%,3.22,1.78,10.35,13/04/2024
S104427,86.63,1.97,2.84,16.04,17/03/2024
S104428,79.42,2.83,7.68,21.36,2024/03/27 06:36:38
S104429,53.81,0.0,4.05,7.93,2024-05-13
S104430,89.31,4.31,0.22,3.36,2024-03-31
S104431,59%,4.2,0.34,8.41,2024-02-12
S104432,79.76,2.63,0.89,18.69,2024-01-11
S104433,84.94,1.47,1.5,11.8,03-24-2024
S104434,62.14,3.78,0.59,6.33,2024-03-07
S104435,70.24,2.75,0.54,23.89,2024-05-14
S104436,80%,1.79,3.9,6.74,2024-05-28
S104437,60.43,2.39,,13.81,2024-04-11
S104438,51.94,3.33,0.28,20.16,2024-01-10
S104439,82.2,3.98,2.28,19.69,2024-04-19
S104440,86.66,4.98,0.91,17.92,2024-02-09
S104441,72.0,3.26,3.14,10.32,2024-04-06
S104442,65.53,1.17,0.93,18.91,2024-03-03
S104443,100.0,0.32,0.35,15.1,2024-03-17
S104444,62.3%,2.94,0.95,17.85,21/05/2024
S104445,74.87,3.56,1.11,24.59,14/01/2024
S104446,81.26,2.5,2.25,6.64,2024-03-18
S104447,78.6%,4.72,1.52,17.7,30/04/2024
S104448,87.32,1.61,0.23,15.99,2024-01-28
S104449,85.57,2.86,1.33,21.61,05-09-2024
S104450,75.4,1.49,0.76,27.45,2024/04/04 19:50:12
S104451,86.66,7.04,1.58,27.23,2024-02-05
S104452,58.43,3.37,0.97,20.85,15/02/2024
S104453,76.83,3.36,,10.81,2024-01-19
S104454,62%,1.06,0.77,12.04,2024/03/14 02:16:04
S104455,80%,3.34,0.91,20.05,2024-03-14
S104456,86.14,2.05,0.94,5.99,2024-05-20
S104457,86.54,3.87,0.24,13.37,22/02/2024
S104458,74.73,0.68,2.62,9.83,2024-03-23
S104459,75.4,0.71,8.0,6.76,2024-02-07
S104460,54.96,2.34,0.44,16.73,2024-04-27
S104461,65.09,4.02,2.4,20.53,27/02/2024
S104462,70.7,3.96,4.69,19.2,08/05/2024
S104463,84.41,1.87,0.81,15.83,01-10-2024
S104464,66.78,5.02,0.46,12.53,2024-01-21
S104465,72.56,1.15,5.55,11.33,19/01/2024
S104466,0.7234,1.25,0.18,21.1,2024-05-01
S104467,64.7%,3.54,0.29,11.42,18/04/2024
S104468,97.86,1.89,3.98,11.22,2024-04-07
S104469,74.07,3.8,0.52,17.88,2024-01-25
S104470,73.79,0.59,1.81,8.13,22/02/2024
S104471,79.2%,3.51,0.16,15.6,2024-05-16
S104472,64.8,3.6,4.15,11.3,2024-02-14
S104473,61.5%,6.37,0.39,10.3,25/01/2024
S104474,93.59,0.0,0.35,13.25,2024-05-19
S104475,0.8249,2.18,1.85,20.28,2024-05-07
S104476,60.59,5.64,0.96,16.24,2024-01-31
S104477,67.22,2.62,1.96,17.05,27/01/2024
S104478,72.43,4.0,0.88,20.31,2024-05-16
S104479,65.0%,3.17,1.74,19.37,03-20-2024
S104480,60.8%,2.54,0.07,13.75,2024-01-25
S104481,85.09,1.95,1.55,18.9,2024-01-31
S104482,71%,2.68,4.73,13.82,2024-05-21
S104483,69.43,2.02,1.76,18.07,2024-03-31
S104484,0.5665,5.43,3.41,22.29,2024-01-16
S104485,83.8%,4.23,0.58,18.64,2024-02-20
S104486,80.5%,5.17,2.52,6.28,2024-02-26
S104487,56.3,3.83,1.83,11.52,2024-02-19
S104488,78.23,2.37,1.13,19.53,04-25-2024
S104489,79.69,1.48,1.36,0.0,2024-04-06
S104490,76.33,3.11,2.28,17.27,2024-04-09
S104491,85.77,3.21,0.23,16.87,2024-03-22
S104492,82.77,2.51,0.21,34.09,2024-05-08
S104493,100.0,2.38,1.43,18.03,2024-03-31
S104494,81%,1.99,2.06,14.24,12/01/2024
S104495,69.47,1.53,1.88,23.15,10/02/2024
S104496,68.27,4.75,0.25,12.59,2024-05-07
S104497,68.44,2.92,1.23,15.3,2024/02/09 23:33:17
S104498,64.9,3.47,2.78,15.62,2024-02-29
S104499,67.3,1.25,0.59,19.2,20/04/2024
S104500,76.98,3.65,0.15,8.54,2024-04-02
S104501,72.59,4.59,0.63,20.83,2024-04-11
S104502,78.09,2.14,3.33,11.32,02/05/2024
S104503,73.76,3.53,1.33,29.42,2024-01-17
S104504,62.03,3.63,3.1,4.41,2024-05-26
S104505,93.19,0.76,4.9,9.7,19/04/2024
S104506,76.59,1.58,1.93,0.79,29/03/2024
S104507,85.35,5.23,0.54,35.75,03-29-2024
S104508,57%,0.97,1.69,6.41,2024-04-12
S104509,73.23,5.02,1.03,20.32,2024-05-08
S104510,81.26,3.49,3.76,20.09,2024/03/16 18:44:12
S104511,66.59,2.53,0.34,8.66,2024-03-06
S104512,85.1%,5.41,0.07,20.41,2024-05-03
S104513,63.72,0.88,3.9,7.52,2024-05-12
S104514,89.11,0.0,0.07,9.31,12/03/2024
S104515,79.81,3.2,0.79,4.07,2024-05-27
S104516,81.72,4.21,3.22,19.69,2024-01-28
S104517,69.1%,0.91,0.57,1.29,2024-05-04
S104518,76.53,1.46,4.85,17.75,2024-03-23
S104519,83.88,3.25,0.44,14.13,2024-01-29
S104520,99.2%,3.64,5.17,27.2,2024-05-29
S104521,74.89,2.33,1.27,15.23,27/02/2024
S104522,83.07,4.13,0.35,20.94,2024-01-26
S104523,65.11,2.89,0.55,18.58,2024-05-29
S104524,63.95,1.21,2.52,14.28,2024-02-03
S104525,56.56,2.89,0.72,22.8,04-12-2024
S104526,79.91,4.01,0.04,17.66,2024-05-27
S104527,71.05,0.59,0.12,21.29,2024-05-10
S104528,0.609,1.41,2.01,8.51,2024-01-19
S104529,74.82,3.69,0.78,18.7,2024-04-17
S104530,0.6072,3.9,7.38,20.61,21/04/2024
S104531,93.88,1.54,1.44,7.38,24/04/2024
S104532,70.61,1.26,1.25,14.48,2024-04-23
S104533,70.39,1.55,2.64,2.83,02/05/2024
S104534,73.86,3.27,1.46,3.89,01-29-2024
S104535,81.93,5.3,1.92,14.58,02-27-2024
S104536,65.67,4.29,8.0,27.6,2024-05-25
S104537,100.0,2.36,0.88,28.14,2024-05-14
S104538,67%,0.0,1.35,12.87,18/04/2024
S104539,91.16,3.65,3.94,8.34,11/05/2024
S104540,84.27,3.14,1.3,21.49,11/04/2024
S104541,88.5,2.35,1.65,0.98,03-29-2024
S104542,77.33,5.1,0.99,12.18,26/03/2024
S104543,80.14,2.85,5.33,9.76,2024-03-24
S104544,74.1%,4.56,1.84,14.4,2024-01-15
S104545,72.87,3.65,1.62,24.63,2024-01-19
S104546,72.83,1.59,1.3,0.0,2024-03-04
S104547,66%,2.44,0.27,17.17,12/05/2024
S104548,76.05,2.76,1.59,17.4,2024-03-04
S104549,77.72,4.52,4.57,14.57,2024-03-24
S104550,60.9%,3.61,3.42,17.04,2024-04-26
S104551,91.85,4.26,2.38,18.6,02-26-2024
S104552,0.782,1.53,2.16,16.11,2024-05-01
S104553,80.2,3.11,5.26,0.75,2024-01-21
S104554,75.9,1.55,1.39,8.78,02-14-2024
S104555,81.96,4.05,2.5,26.18,2024-02-03
S104556,69.1%,1.58,1.37,6.83,2024-04-21
S104557,77.09,3.95,3.5,15.56,23/02/2024
S104558,91.31,3.98,0.55,9.95,2024-05-16
S104559,85.22,5.46,0.5,19.16,29/04/2024
S104560,99.67,2.97,3.73,13.58,2024-05-27
S104561,53.8%,1.81,0.46,19.58,2024-05-15
S104562,71.65,1.75,8.0,17.68,2024-04-07
S104563,79.93,4.1,0.84,12.27,2024-02-04
S104564,72.12,4.92,1.27,0.0,06/02/2024
S104565,92.55,1.06,1.53,8.94,07/05/2024
S104566,80.32,6.78,0.68,6.56,05-28-2024
S104567,70.21,3.55,0.0,6.5,07/03/2024
S104568,86.78,3.74,1.47,18.52,2024-04-29
S104569,83.87,2.62,0.95,29.17,15/02/2024
S104570,77.59,1.95,4.84,0.0,2024-05-24
S104571,76.93,0.87,0.15,4.46,03-28-2024
S104572,89.75,3.97,2.35,16.62,04/03/2024
S104573,50.68,4.43,3.81,13.23,2024-02-19
S104574,86%,3.31,1.17,18.17,2024-04-24
S104575,84%,1.6,3.33,14.67,2024-05-08
S104576,84.39,4.28,5.38,24.22,2024-02-18
S104577,72.86,2.92,,18.99,2024-05-05
S104578,85.93,2.94,0.56,21.14,04/04/2024
S104579,58.1%,2.05,1.1,22.13,2024-03-12
S104580,67.54,2.38,1.48,6.65,2024-03-31
S104581,87.27,4.39,0.2,19.11,2024-01-14
S104582,50.48,1.81,0.52,19.5,05/03/2024
S104583,85.12,0.67,3.73,12.61,26/02/2024
S104584,75.35,1.05,8.0,12.56,2024-04-25
S104585,71.64,4.38,0.37,12.76,2024-05-02
S104586,80.76,3.05,3.95,8.84,2024-03-04
S104587,75.57,3.08,0.51,5.34,2024/03/30 17:11:58
S104588,58.66,4.84,0.48,30.02,2024-04-15
S104589,76.58,2.47,0.89,22.56,04-29-2024
S104590,71.75,2.68,2.76,15.18,28/03/2024
S104591,65.55,2.06,0.03,4.73,2024-01-10
S104592,93.44,2.32,0.82,18.82,01/02/2024
S104593,62.17,0.56,0.67,12.45,2024-05-24
S104594,60.27,3.09,,13.9,2024/02/20 16:01:27
S104595,67.78,2.44,2.05,30.73,18/02/2024
S104596,58.08,4.15,0.06,28.29,2024-02-19
S104597,83.63,3.46,5.57,0.0,23/04/2024
S104598,86.65,3.67,0.63,17.56,2024-03-25
S104599,76.0,3.83,1.14,16.16,2024-05-08
S104600,46%,2.93,2.92,17.49,03/03/2024
S104601,68.21,2.73,1.98,11.1,2024-03-12
S104602,100.0,6.0,1.4,15.02,2024-04-05
S104603,97.54,2.96,1.42,7.34,29/04/2024
S104604,58.82,2.59,0.74,22.26,2024/03/15 03:31:40
S104605,67.38,2.37,0.42,22.05,05-16-2024
S104606,86.85,3.12,0.83,26.49,19/03/2024
S104607,73.01,2.67,3.47,9.58,2024-05-28
S104608,81.2%,3.31,5.25,16.89,10/05/2024
S104609,74.2%,2.73,2.41,29.3,2024-02-28
S104610,75.67,4.45,0.57,10.27,2024-01-25
S104611,68.12,3.43,0.41,7.93,2024-03-30
S104612,76.32,3.44,1.33,17.1,2024/03/16 06:00:45
S104613,100.0,4.27,2.06,23.16,2024-02-15
S104614,53.43,5.04,1.44,10.33,11/05/2024
S104615,68%,1.64,0.48,28.53,2024-02-01
S104616,65%,3.11,3.16,8.59,2024-02-16
S104617,82.11,1.64,0.66,19.61,2024/03/03 08:24:41
S104618,97.57,3.68,0.32,10.26,27/03/2024
S104619,84.3%,0.83,1.7,11.74,01-19-2024
S104620,66.12,1.41,3.11,20.76,2024-04-07
S104621,75.35,5.18,2.07,13.54,2024-01-23
S104622,88.2%,5.01,1.83,4.37,2024-04-21
S104623,95.59,0.42,1.51,9.41,2024-05-27
S104624,79.87,0.96,3.65,20.05,2024-03-25
S104625,64.42,3.12,1.57,17.78,2024-04-15
S104626,75.24,3.07,7.52,20.08,2024-04-22
S104627,90.11,2.79,1.34,10.78,01-17-2024
S104628,80%,1.72,2.32,7.58,02-13-2024
S104629,79.0%,3.12,4.93,9.27,2024-03-15
S104630,68.02,4.41,5.7,9.75,22/05/2024
S104631,83.67,7.16,2.48,14.67,2024-02-06
S104632,58.82,0.25,0.41,6.71,2024-03-20
S104633,54.97,0.52,0.65,22.46,05-16-2024
S104634,67.18,3.63,0.22,18.61,2024-01-12
S104635,78.29,3.71,0.28,8.95,01/05/2024
S104636,68.12,2.86,0.64,13.61,2024-04-16
S104637,75.55,4.39,1.71,8.79,02/02/2024
S104638,70.88,4.51,2.0,13.95,17/05/2024
S104639,89.32,3.24,0.02,9.16,12/04/2024
S104640,84.89,6.86,3.17,30.0,2024-05-20
S104641,70.07,3.56,0.6,3.86,2024-03-27
S104642,73%,4.06,0.73,6.11,2024-05-26
S104643,64.36,1.93,6.78,13.34,30/01/2024
S104644,81%,3.44,1.67,15.66,2024-05-17
S104645,79.59,5.34,0.63,15.7,2024-02-09
S104646,84.0,2.37,0.13,21.42,2024-04-14
S104647,67.79,4.84,0.82,18.1,2024-03-19
S104648,74.34,0.52,,8.55,31/03/2024
S104649,72.6%,4.14,0.23,22.43,2024-05-21
S104650,77.4%,1.57,7.44,19.4,04/02/2024
S104651,81.47,3.2,4.85,24.71,2024-02-20
S104652,66.96,4.64,1.45,15.36,2024-05-23
S104653,81.8%,6.06,3.8,22.63,2024-01-23
S104654,84.59,1.43,0.74,0.0,2024-04-19
S104655,68.56,3.79,1.69,11.6,2024-03-01
S104656,66%,0.0,1.11,8.61,2024-05-15
S104657,68.16,1.21,1.09,19.91,2024-01-30
S104658,65.16,4.91,0.07,9.82,03/04/2024
S104659,91.41,4.11,1.17,21.83,2024-03-24
S104660,100.0,3.89,0.05,20.51,02-11-2024
S104661,58.96,4.26,1.31,10.75,2024-02-16
S104662,64.4%,3.81,1.89,16.67,21/04/2024
S104663,73.32,2.88,,13.5,31/01/2024
S104664,47.62,1.45,6.77,15.81,2024-01-18
S104665,82.58,4.63,2.21,20.25,2024-01-22
S104666,67.33,5.17,0.58,12.72,2024-05-23
S104667,86.87,2.11,0.89,3.41,02/02/2024
S104668,73.07,2.79,1.15,19.17,2024-03-09
S104669,64.39,4.38,4.93,22.51,2024-04-18
S104670,72.85,4.32,0.38,3.1,2024-03-10
S104671,79.73,5.22,1.25,14.74,2024-04-20
S104672,61.24,6.05,1.06,8.48,2024-04-04
S104673,67.46,4.36,0.45,22.89,2024-02-13
S104674,48.3%,2.62,2.19,23.28,2024/01/10 04:14:11
S104675,90%,4.72,2.25,9.33,06/03/2024
S104676,51.99,3.88,0.93,5.79,2024-03-19
S104677,62.96,3.9,1.41,16.71,2024-02-17
S104678,0.91,3.32,0.21,7.24,2024-04-29
S104679,54.36,1.64,0.68,21.0,2024-04-23
S104680,80.73,1.39,0.27,14.08,2024-02-05
S104681,78.45,4.68,3.28,26.24,2024-04-26
S104682,67.93,6.42,0.28,26.55,2024-05-05
S104683,41.62,3.38,1.51,25.86,02-11-2024
S104684,98.34,3.87,2.49,17.82,2024-02-07
S104685,52.24,5.5,1.35,8.38,2024-02-28
S104686,66.23,2.55,5.45,4.62,30/01/2024
S104687,69.8,5.41,1.72,19.16,2024/04/11 15:03:46
S104688,75.83,4.14,1.11,19.69,2024-02-23
S104689,75.25,2.64,2.16,16.83,31/01/2024
S104690,81.42,2.14,1.88,5.7,18/04/2024
S104691,75.87,2.63,1.8,9.42,04/02/2024
S104692,83.28,5.09,0.58,15.58,21/03/2024
S104693,77.48,4.88,6.59,10.71,04-24-2024
S104694,84.7,2.41,0.67,9.57,2024-04-26
S104695,0.894,4.58,2.54,8.23,2024-03-11
S104696,89.93,4.55,0.02,14.05,2024-02-13
S104697,0.6735,2.44,2.24,13.55,2024-02-20
S104698,81.06,2.1,0.33,9.21,2024-02-04
S104699,57.99,1.31,1.85,15.07,07/05/2024
S104700,88.48,3.92,1.13,16.75,02-13-2024
S104701,0.9517,0.64,1.61,17.47,2024-03-06
S104702,56.47,3.46,2.03,8.3,2024/05/27 14:43:07
S104703,80.96,3.74,0.12,12.85,2024-01-26
S104704,88.02,4.04,1.48,15.11,2024-02-20
S104705,91.16,4.55,0.72,15.88,11/01/2024
S104706,80%,1.64,3.39,5.66,2024-01-23
S104707,0.7747,4.8,1.07,12.61,2024-01-26
S104708,71.58,5.26,,19.15,2024/02/04 04:01:20
S104709,78.79,5.69,0.76,10.84,2024-02-09
S104710,93.45,5.04,4.41,17.49,08/04/2024
S104711,77.71,3.4,5.25,15.1,2024/02/19 06:56:02
S104712,87%,3.1,0.16,11.78,21/05/2024
S104713,72.77,2.45,1.75,23.83,2024-03-28
S104714,78.73,5.24,0.91,12.88,2024-01-30
S104715,88.23,2.52,1.69,13.53,2024-04-16
S104716,92.7%,5.0,1.94,11.61,2024-02-18
S104717,66.57,3.77,0.49,25.36,2024/03/25 12:04:47
S104718,77.11,4.92,1.56,24.74,02-07-2024
S104719,64.83,2.98,0.87,23.03,2024-02-23
S104720,74.19,8.04,3.05,21.09,2024/04/05 10:33:00
S104721,71.72,0.64,3.37,8.81,2024-05-13
S104722,54.72,2.31,1.51,11.85,03/04/2024
S104723,65.11,1.55,0.62,9.61,2024-03-14
S104724,69.66,2.65,0.54,22.21,2024-01-28
S104725,0.8502,1.4,1.0,31.35,2024-04-25
S104726,64.15,1.45,0.23,19.75,22/05/2024
S104727,69.35,3.62,0.78,26.73,2024-03-21
S104728,67.38,3.84,0.19,18.2,02-07-2024
S104729,61.92,4.96,1.22,17.22,01-30-2024
S104730,78.02,3.33,1.66,10.94,2024-01-11
S104731,71.06,1.53,0.11,19.29,05/05/2024
S104732,55%,1.82,0.87,21.39,2024-03-04
S104733,94.13,2.95,1.42,22.38,2024-01-12
S104734,68.73,1.37,0.2,15.72,07/04/2024
S104735,86%,5.09,0.59,16.39,2024-05-29
S104736,0.7963,4.97,,14.57,05-23-2024
S104737,68.89,4.0,5.67,11.05,2024-03-29
S104738,87.6%,3.39,0.57,21.17,2024-05-12
S104739,84%,1.36,4.48,1.73,2024/01/28 09:00:20
S104740,76.27,4.1,1.34,3.29,2024-05-27
S104741,86.0,1.56,0.27,11.17,12/01/2024
S104742,0.8353,1.45,0.14,6.08,2024-04-24
S104743,62.31,5.45,0.45,22.6,2024-03-06
S104744,83.89,2.85,4.42,11.9,2024-05-19
S104745,66.86,2.67,0.35,21.14,2024-01-18
S104746,64.8,3.86,2.83,24.13,24/01/2024
S104747,78.4%,3.56,2.16,15.43,2024-03-08
S104748,69.2,0.5,0.56,17.29,2024-05-12
S104749,60.7,3.03,1.02,23.59,04/03/2024
S104750,81.93,4.31,3.73,21.99,12/01/2024
S104751,89.93,1.2,4.45,0.5,30/01/2024
S104752,85.4%,4.83,3.74,12.11,2024-03-10
S104753,62.36,1.71,0.39,18.59,23/05/2024
S104754,47.8%,0.86,0.14,16.51,2024-05-04
S104755,71.97,1.58,1.87,8.05,2024-01-21
S104756,75.89,2.23,0.21,3.05,04/05/2024
S104757,83.72,1.57,1.7,19.28,25/02/2024
S104758,76.69,3.49,2.57,9.1,19/03/2024
S104759,70.91,2.6,2.07,14.06,2024/05/06 21:34:22
S104760,60.03,4.51,0.24,16.01,16/04/2024
S104761,80.61,1.71,1.77,13.86,2024-02-29
S104762,84.57,3.26,0.67,8.48,2024-04-20
S104763,82.1,3.09,0.09,14.42,2024-01-22
S104764,67.58,2.04,1.18,11.19,2024-03-24
S104765,63%,2.79,2.73,26.59,2024-03-01
S104766,85.7,2.21,1.61,16.49,2024/04/05 22:27:20
S104767,100.0,1.04,7.36,32.97,15/03/2024
S104768,60.57,1.85,0.47,5.77,2024-05-16
S104769,71.57,0.0,4.82,12.89,2024-03-06
S104770,54.03,0.0,5.15,12.87,2024-01-24
S104771,61.41,0.0,4.76,9.56,2024-03-08
S104772,59.79,2.51,0.51,12.54,22/02/2024
S104773,97%,0.76,1.89,11.64,2024-02-10
S104774,81%,3.42,0.69,8.15,03-28-2024
S104775,67.55,4.83,5.81,27.56,2024-05-13
S104776,100%,0.57,2.03,14.42,2024-02-27
S104777,82.2,4.23,2.78,21.49,2024-03-15
S104778,64.88,1.67,3.0,21.93,02-14-2024
S104779,58.83,2.8,0.89,25.0,2024-01-23
S104780,86.47,3.26,0.74,8.12,2024-05-09
S104781,80.54,2.98,0.12,23.86,2024-01-13
S104782,69%,0.0,2.36,14.48,2024-03-10
S104783,76.35,2.55,3.09,29.25,2024/05/11 06:31:40
S104784,65.68,2.7,2.03,18.67,18/05/2024
S104785,52.26,2.14,0.52,6.93,2024-05-28
S104786,74.4%,3.83,2.02,23.8,20/01/2024
S104787,81.77,4.79,3.05,23.11,2024-03-27
S104788,86.77,4.01,0.43,5.96,2024-05-12
S104789,64.4%,2.47,1.37,20.21,2024-02-16
S104790,85.48,0.78,0.1,26.22,17/04/2024
S104791,86.77,3.57,0.12,18.35,2024/01/29 20:04:18
S104792,68.1,3.09,6.11,8.18,02-13-2024
S104793,66.24,5.55,1.91,22.07,2024-03-11
S104794,66.07,2.01,1.33,19.66,25/01/2024
S104795,96%,2.45,0.08,13.38,2024-01-31
S104796,63.3%,2.08,3.58,11.78,03-16-2024
S104797,54.8,1.39,0.06,19.63,2024-03-17
S104798,82.96,4.84,4.7,8.63,2024-02-22
S104799,0.885,5.28,2.94,16.41,02-05-2024
S104800,86.16,1.96,2.02,23.39,2024-02-22
S104801,90%,5.31,0.41,25.64,2024-03-07
S104802,0.8258,1.2,3.27,11.32,2024-04-23
S104803,71.4%,3.98,0.17,3.89,04/04/2024
S104804,75.95,2.78,2.85,10.05,22/01/2024
S104805,90.91,3.28,1.21,20.71,09/05/2024
S104806,68.7,1.13,3.12,9.81,2024-02-05
S104807,88.59,2.55,5.28,22.58,02-15-2024
S104808,97%,2.56,2.13,9.8,2024-04-25
S104809,65.0%,0.86,1.84,11.1,2024-04-27
S104810,100.0,3.69,1.11,13.79,2024-02-24
S104811,91.49,4.36,0.17,21.61,05-20-2024
S104812,67.21,1.81,1.28,3.91,2024-05-02
S104813,70.6%,2.46,0.27,16.96,21/03/2024
S104814,82.36,0.0,0.4,16.83,03-11-2024
S104815,73.3%,2.83,0.62,8.06,2024-03-25
S104816,72.39,2.23,3.45,17.49,10/01/2024
S104817,0.4511,3.77,0.94,13.74,2024-05-08
S104818,77.16,3.97,2.57,7.08,2024-04-24
S104819,92.06,2.47,1.64,14.48,27/02/2024
S104820,73.71,2.67,4.79,7.7,18/03/2024
S104821,82.0%,1.97,0.65,10.52,2024-01-31
S104822,0.7087,4.38,0.84,21.16,2024-03-03
S104823,68.96,3.25,0.28,12.82,2024-05-12
S104824,85.99,4.45,4.14,21.02,2024-02-27
S104825,73.49,4.84,0.22,13.9,2024-01-23
S104826,77.55,3.6,0.45,8.26,2024-04-20
S104827,80.53,2.15,0.69,18.36,2024-03-19
S104828,72.64,1.06,0.39,18.92,06/05/2024
S104829,66%,2.75,0.89,6.39,2024-03-07
S104830,90.03,3.09,1.18,22.95,2024-02-09
S104831,85.46,1.54,2.06,25.65,2024-02-04
S104832,79.32,5.66,2.0,19.39,2024-05-25
S104833,69.9%,1.68,,15.54,02-02-2024
S104834,95.82,0.0,4.07,29.08,29/03/2024
S104835,100.0%,0.79,1.26,18.77,2024-01-31
S104836,57.37,3.96,1.79,16.38,01-14-2024
S104837,88.82,2.04,0.41,26.9,2024-01-20
S104838,86%,1.43,5.51,26.22,2024-02-25
S104839,70%,7.25,0.19,4.93,2024-05-21
S104840,69.98,2.48,0.44,11.47,2024-05-19
S104841,48%,4.68,,19.1,02-05-2024
S104842,71.32,4.87,0.31,23.59,2024-01-16
S104843,100.0,4.26,3.74,6.84,2024-02-18
S104844,55.88,2.61,0.92,21.36,2024-02-14
S104845,62%,3.92,0.88,12.17,12/05/2024
S104846,77.49,1.97,1.51,20.02,2024/03/31 02:07:01
S104847,70%,0.64,3.07,11.03,02-26-2024
S104848,73.89,3.93,0.0,0.0,2024-05-23
S104849,0.9117,4.88,0.61,2.6,28/05/2024
S104850,71.48,3.44,2.17,7.12,2024-02-03
S104851,68.0%,2.91,2.31,10.86,2024-03-17
S104852,80%,3.6,7.42,14.95,2024-02-02
S104853,77.94,2.93,2.88,11.38,15/05/2024
S104854,55.76,2.36,0.72,14.67,2024-02-01
S104855,78.54,2.34,0.5,11.53,14/01/2024
S104856,97.01,1.64,0.02,14.97,12/01/2024
S104857,94%,5.49,0.74,21.51,2024-05-04
S104858,0.8091,3.25,2.35,14.9,2024-01-23
S104859,75.7%,3.4,0.17,18.79,2024-04-07
S104860,59.81,5.23,0.45,20.0,01/04/2024
S104861,80%,0.48,0.84,13.9,17/01/2024
S104862,58.04,5.98,1.26,2.46,17/04/2024
S104863,83.2,2.93,4.91,16.77,29/03/2024
S104864,79.24,2.1,1.71,10.28,27/05/2024
S104865,68%,3.78,6.28,21.04,2024-04-20
S104866,85.22,2.73,2.26,24.56,2024-02-03
S104867,0.5621,0.14,5.97,13.2,2024-03-09
S104868,73.83,3.58,6.28,16.15,02-09-2024
S104869,74.03,0.25,0.62,19.68,2024-01-14
S104870,77.41,2.11,0.39,9.31,2024/01/29 19:43:15
S104871,93.15,1.72,,15.06,2024-03-26
S104872,73.47,1.97,2.24,4.17,2024-04-20
S104873,88.72,2.19,4.03,22.31,2024-04-21
S104874,82%,2.42,2.32,26.8,2024-04-03
S104875,90.32,3.52,0.1,15.7,31/03/2024
S104876,100.0,4.7,0.89,9.74,02/02/2024
S104877,100.0,1.69,1.74,16.83,2024-01-17
S104878,69.3%,3.17,0.75,6.08,2024/04/27 11:16:14
S104879,66.6%,2.38,0.01,11.95,04-07-2024
S104880,86.93,3.22,0.58,12.07,03-19-2024
S104881,81%,0.0,0.69,11.35,2024-04-28
S104882,0.6807,2.44,0.53,16.53,2024-03-31
S104883,72%,0.0,0.63,18.04,2024-01-28
S104884,88.99,4.81,0.29,15.1,2024-04-19
S104885,77.52,4.42,2.5,21.31,2024-02-08
S104886,91.96,2.32,4.92,17.73,05-12-2024
S104887,78.23,3.6,0.26,11.54,2024-01-17
S104888,68%,2.57,,14.24,2024-01-11
S104889,100.0%,3.04,0.49,14.43,01-17-2024
S104890,92%,2.81,0.5,12.32,2024-04-22
S104891,77.62,4.55,1.22,18.57,05-19-2024
S104892,0.4485,4.28,1.1,0.08,2024-04-14
S104893,0.8511,2.39,1.25,15.22,20/03/2024
S104894,100.0%,3.52,2.91,17.17,31/03/2024
S104895,95.68,3.1,2.79,19.19,21/03/2024
S104896,77.08,4.69,0.45,22.76,2024-04-30
S104897,81%,4.97,1.53,14.02,2024-01-16
S104898,59.0%,6.02,2.98,20.82,2024-01-30
S104899,85.36,4.23,0.14,19.27,05-01-2024
S104900,88.05,3.07,0.14,16.85,2024-03-09
S104901,82.2%,2.31,4.17,5.26,07/03/2024
S104902,60.3%,0.0,1.23,22.63,01/03/2024
S104903,65.35,1.41,0.81,15.67,18/04/2024
S104904,62.05,5.17,0.36,13.24,2024/05/18 10:44:22
S104905,77.0,3.25,3.5,6.9,2024-03-15
S104906,78.14,5.36,1.32,0.0,10/01/2024
S104907,98.03,0.5,0.41,28.32,16/02/2024
S104908,96.62,5.1,,17.15,2024-03-23
S104909,75.06,0.3,1.02,7.25,2024/04/01 17:10:55
S104910,83%,3.9,2.34,6.18,2024-03-19
S104911,90.26,3.17,2.04,13.05,20/01/2024
S104912,77.02,2.24,2.75,20.66,2024/03/28 20:23:15
S104913,69.86,1.3,2.65,19.42,27/01/2024
S104914,80.73,2.83,0.12,19.77,2024-01-28
S104915,78.0%,4.09,2.43,8.79,2024-05-07
S104916,100.0,2.28,6.02,13.75,2024-03-01
S104917,93.7%,5.05,1.79,15.89,2024-03-11
S104918,69.5%,2.97,,14.6,30/03/2024
S104919,98.5,4.32,1.09,18.82,06/05/2024
S104920,69.66,2.95,0.51,26.02,02-11-2024
S104921,69.83,3.72,1.26,16.47,2024-03-25
S104922,80.43,2.53,0.55,10.91,2024-03-12
S104923,84.57,1.86,5.04,4.83,2024-05-12
S104924,85.0%,4.94,0.96,16.23,2024-01-16
S104925,100%,2.2,1.0,10.38,2024-04-18
S104926,70.57,3.83,0.45,18.0,2024-01-24
S104927,53.8%,2.86,3.0,17.55,2024-05-13
S104928,77%,3.13,0.09,25.94,2024-02-08
S104929,86.99,1.44,5.17,16.5,2024-04-01
S104930,62.64,2.12,0.14,18.19,2024-03-05
S104931,62%,3.51,0.3,10.41,06/04/2024
