roll_number,hackathons_participated,preferred_domain,career_goal,submitted_at
S104242,0,,Job,2024-03-23
S104243,0,Product/Management,Startup/Entrepreneurship,2024-01-09
S104244,1,Core Engineering,Higher Studies,2024-02-05
S104245,0,Core Engineering,Higher Studies,2024/01/03 17:02:03
S104246,2,Web Development,Job,2024-01-28
S104247,0,Cybersecurity,Startup/Entrepreneurship,2024-02-17
S104248,0,Cybersecurity,Job,2024-02-24
S104249,1,Data Science,Job,2024-02-05
S104250,1,Cybersecurity,Job,2024-02-09
S104251,3,Product/Management,Job,2024-01-29
S104252,1,Product/Management,Job,2024-04-01
S104253,4,Product/Management,Startup/Entrepreneurship,2023-11-05
S104254,0,Web Development,Job,06/04/2024
S104255,0,Web Development,,2024-03-20
S104256,1,Cybersecurity,Higher Studies,2024-01-23
S104257,0,Web Development,Startup/Entrepreneurship,18/02/2024
S104258,1,Product/Management,Job,2024-04-04
S104259,0,AI/ML,JOB,2023-12-02
S104260,1,Web Development,Job,31/03/2024
S104261,0,Web Development,Job,01-10-2024
S104262,1,Product/Management,Job,18/03/2024
S104263,2,AI/ML,Job,2024-02-24
S104264,0,Product/Management,Job,2024-02-24
S104265,1,Web Development,Job,13/11/2023
S104266,1,AI/ML,Higher Studies,2024-02-09
S104267,1,Product/Management,Higher Studies,2024-02-14
S104268,2,AI/ML,Job,2023-12-13
S104269,2,Cybersecurity,Job,2024-04-14
S104270,1,Web Development,Job,2024-03-10
S104271,0,Data Science,Higher Studies,11-22-2023
S104272,3,Cybersecurity,Higher Studies,2023-12-24
S104273,1,Data Science,Higher Studies,06/01/2024
S104274,0,Data Science,Startup/Entrepreneurship,2024-01-23
S104275,0,Core Engineering,Higher Studies,2024-01-30
S104276,3,Data Science,Higher Studies,2023-12-27
S104277,1,Data Science,Job,2024-04-07
S104278,1,AI/ML,Job,2024-02-18
S104279,1,Data Science,,2024-01-24
S104280,0,Product/Management,Higher Studies,2023-12-11
S104281,3,Core Engineering,Job,2023-11-21
S104282,1,Web Development,Job,2024-03-31
S104283,0,Data Science,Job,2024-01-06
S104284,0,AI/ML,Job,01-22-2024
S104285,3,Product/Management,Higher Studies,18/03/2024
S104286,0,Web Development,Job,2024-04-01
S104287,0,,Job,04-10-2024
S104288,2,Core Engineering,Job,2023-11-30
S104289,1,Cybersecurity,Job,2023-12-21
S104290,0,Cybersecurity,Job,2024-01-28
S104291,2,Product/Management,Job,09/11/2023
S104292,0,Web Development,Higher Studies,11/11/2023
S104293,0,Cybersecurity,Startup/Entrepreneurship,2023-12-29
S104294,1,AI/ML,Job,2023-12-23
S104295,3,Web Development,Job,01/12/2023
S104296,2,Web Development,STARTUP/ENTREPRENEURSHIP,2024-01-18
S104297,2,Cybersecurity,Higher Studies,2024-03-25
S104298,2,Data Science,Startup/Entrepreneurship,2024-03-21
S104299,3,Product/Management,Job,2024-03-09
S104300,3,Web Development,job,02/12/2023
S104301,0,Core Engineering,Job,2023-11-23
S104302,2,Cybersecurity,Job,2024-02-12
S104303,1,Core Engineering,Job,2024-03-06
S104304,3,Core Engineering,Job,2024-02-02
S104305,1,Product/Management,Job,2024-01-23
S104306,1,Product/Management,Job,2023-12-27
S104307,0,Cybersecurity,Job,12-15-2023
S104308,1,Product/Management,Job,2024-01-30
S104309,2,Cybersecurity,Higher Studies,21/03/2024
S104310,1,Cybersecurity,Job,11/03/2024
S104311,3,Data Science,Job,21/12/2023
S104312,1,Product/Management,Startup/Entrepreneurship,2024-01-14
S104313,2,Data Science,Higher Studies,03/02/2024
S104314,3,Cybersecurity,Job,02/03/2024
S104315,2,AI/ML,Higher Studies,2023-11-03
S104316,2,Core Engineering,Higher Studies,2024-01-22
S104317,1,Cybersecurity,Higher Studies,2024-02-05
S104318,0,Web Development,Higher Studies,2024-02-11
S104319,0,Web Development,Higher Studies,04/03/2024
S104320,4,Web Development,Job,2024-02-27
S104321,2,Cybersecurity,Startup/Entrepreneurship,2024-04-03
S104322,0,Product/Management,Job,2023-11-29
S104323,2,Core Engineering,Job,2023-12-07
S104324,1,Cybersecurity,Higher Studies,03-10-2024
S104325,1,Product/Management,Job,03/11/2023
S104326,1,Core Engineering,JOB,01-23-2024
S104327,1,Data Science,Job,2023-12-30
S104328,1,Web Development,Higher Studies,2023-11-19
S104329,2,Core Engineering,Job,2024-03-31
S104330,0,Product/Management,Higher Studies,2023-12-11
S104331,2,Web Development,Job,2023-12-30
S104332,1,Core Engineering,Job,2023-11-09
S104333,1,Core Engineering,Job,11-19-2023
S104334,4,Web Development,Higher Studies,02-11-2024
S104335,1,Core Engineering,Job,2024/03/02 13:49:04
S104336,3,Web Development,Startup/Entrepreneurship,25/02/2024
S104337,1,Cybersecurity,Higher Studies,21/03/2024
S104338,0,Web Development,Job,08/12/2023
S104339,1,Core Engineering,Job,12/01/2024
S104340,1,Cybersecurity,Job,2023-11-26
S104341,2,Product/Management,Job,2023/12/04 02:19:54
S104342,1,Web Development,Startup/Entrepreneurship,2023-11-14
S104343,1,Web Development,Job,2024-01-07
S104344,2,Web Development,Higher Studies,2024-03-14
S104345,2,Web Development,Higher Studies,11/02/2024
S104346,2,Cybersecurity,Job,2023-11-28
S104347,1,AI/ML,Higher Studies,18/03/2024
S104348,2,Data Science,Job,2024-01-13
S104349,1,Data Science,Higher Studies,2023-12-17
S104350,2,AI/ML,Job,2023-11-21
S104351,2,AI/ML,Higher Studies,27/02/2024
S104352,2,Web Development,Job,01/04/2024
S104353,1,Web Development,Job,2023-12-31
S104354,1,Web Development,Job,27/02/2024
S104355,1,Cybersecurity,Job,2023-12-10
S104356,2,Data Science,Job,2023-11-05
S104357,0,AI/ML,Higher Studies,2024-02-15
S104358,1,Data Science,Job,2024-03-13
S104359,1,Data Science,Job,11/11/2023
S104360,2,Web Development,Job,2024-01-28
S104361,0,Core Engineering,Job,2024-01-02
S104362,0,Data Science,Job,2023-12-02
S104363,0,Core Engineering,Job,2024-01-16
S104364,2,AI/ML,Job,2023-11-09
S104365,2,Product/Management,Higher Studies,2024-03-26
S104366,2,Cybersecurity,Job,04-09-2024
S104367,1,,Job,03-04-2024
S104368,3,Data Science,Job,2024-01-29
S104369,0,Cybersecurity,Job,17/02/2024
S104370,3,Cybersecurity,Job,2024-01-16
S104371,3,Cybersecurity,Job,2024-01-19
S104372,1,Data Science,Job,11-11-2023
S104373,2,Web Development,Job,02-22-2024
S104374,1,Web Development,Higher Studies,2024-03-20
S104375,1,Cybersecurity,Job,2024-01-08
S104376,0,Cybersecurity,Higher Studies,2024-01-29
S104377,1,Product/Management,,2023-12-28
S104378,2,Data Science,Higher Studies,02-13-2024
S104379,1,Data Science,Higher Studies,2024-02-11
S104380,1,Cybersecurity,Job,2024-02-29
S104381,0,Data Science,Job,02/03/2024
S104382,1,Data Science,Higher Studies,2024-04-03
S104383,0,Cybersecurity,Job,2024-02-01
S104384,0,Product/Management,Higher Studies,14/02/2024
S104385,2,Core Engineering,Job,2024-02-09
S104386,1,Data Science,Startup/Entrepreneurship,2024-01-18
S104387,2,Core Engineering,Job,2024/02/24 13:29:33
S104388,3,Data Science,STARTUP/ENTREPRENEURSHIP,2023-11-08
S104389,0,AI/ML,Job,24/02/2024
S104390,1,Web Development,Job,2024-02-08
S104391,3,Cybersecurity,Job,2024/01/25 11:54:38
S104392,1,Web Development,Job,17/01/2024
S104393,1,Web Development,Higher Studies,11-22-2023
S104394,3,Web Development,Job,02/12/2023
S104395,1,Web Development,Higher Studies,14/02/2024
S104396,0,Core Engineering,Job,2024-03-01
S104397,0,Cybersecurity,Job,2023-11-22
S104398,1,AI/ML,Job,2024-01-14
S104399,0,Web Development,Job,2023-11-26
S104400,0,AI/ML,Higher Studies,2024-02-23
S104401,2,Web Development,,2024-03-17
S104402,1,Web Development,Startup/Entrepreneurship,2024-03-11
S104403,1,AI/ML,,2024-03-31
S104404,0,Core Engineering,Higher Studies,01-21-2024
S104405,2,Cybersecurity,Startup/Entrepreneurship,03/12/2023
S104406,1,Core Engineering,Startup/Entrepreneurship,2023-11-24
S104407,2,Web Development,Higher Studies,2023-12-31
S104408,1,Cybersecurity,Higher Studies,21/02/2024
S104409,1,Web Development,Startup/Entrepreneurship,03-28-2024
S104410,1,Product/Management,Job,12-04-2023
S104411,0,Core Engineering,Job,18/03/2024
S104412,0,AI/ML,Startup/Entrepreneurship,2024-03-25
S104413,1,Core Engineering,Higher Studies,2024-04-12
S104414,2,Web Development,Job,2024-02-08
S104415,0,Cybersecurity,Higher Studies,31/01/2024
S104416,0,Core Engineering,Higher Studies,10/02/2024
S104417,1,Core Engineering,Job,2024-02-20
S104418,1,Web Development,Job,15/11/2023
S104419,0,Core Engineering,Job,2023-11-24
S104420,1,Product/Management,Job,11-15-2023
S104421,0,AI/ML,Job,03-11-2024
S104422,0,Core Engineering,Higher Studies,2024-03-30
S104423,2,Cybersecurity,Job,2023-12-31
S104424,2,Data Science,Job,2024-02-28
S104425,1,AI/ML,Job,2024-02-21
S104426,0,AI/ML,Higher Studies,05/11/2023
S104427,0,Data Science,Job,2024-01-02
S104428,0,Cybersecurity,Higher Studies,19/11/2023
S104429,0,Data Science,Job,2024-03-09
S104430,3,Web Development,Job,2024-02-19
S104431,1,AI/ML,Job,11/01/2024
S104432,0,Data Science,Startup/Entrepreneurship,2024-02-25
S104433,1,AI/ML,Higher Studies,2024-01-31
S104434,1,Core Engineering,Higher Studies,2024-03-04
S104435,0,Core Engineering,Higher Studies,19/02/2024
S104436,3,Data Science,Job,2023-11-25
S104437,3,Data Science,Higher Studies,2024-02-14
S104438,1,AI/ML,Job,2023-11-22
S104439,0,Product/Management,Job,2023-12-28
S104440,1,Web Development,Job,12-14-2023
S104441,2,AI/ML,,26/01/2024
S104442,0,Data Science,Higher Studies,2023-12-15
S104443,0,Data Science,Higher Studies,2023-11-05
S104444,0,Core Engineering,Job,2024-04-03
S104445,1,AI/ML,Job,11/04/2024
S104446,2,Web Development,Job,04-07-2024
S104447,2,Cybersecurity,Job,2023-11-27
S104448,1,Data Science,Job,21/02/2024
S104449,2,Data Science,Job,2023-11-16
S104450,0,Product/Management,Job,2024-04-11
S104451,1,Web Development,Job,2024-04-04
S104452,0,Product/Management,Job,11-04-2023
S104453,2,Data Science,Job,11-07-2023
S104454,0,Core Engineering,Job,2024-01-26
S104455,1,Cybersecurity,Job,2024-02-01
S104456,3,Product/Management,Job,2024-01-07
S104457,0,Web Development,Job,2024-01-25
S104458,1,Web Development,Job,2024-02-28
S104459,1,Product/Management,Job,2023/12/03 08:50:51
S104460,1,AI/ML,Higher Studies,2023-12-19
S104461,2,AI/ML,Higher Studies,2023-12-17
S104462,0,AI/ML,Job,11-05-2023
S104463,2,AI/ML,Higher Studies,02-27-2024
S104464,2,Cybersecurity,Job,12-28-2023
S104465,1,Data Science,Job,2024/01/01 05:50:29
S104466,1,Core Engineering,Job,2024-01-17
S104467,1,Core Engineering,Job,13/04/2024
S104468,5,AI/ML,Job,2024-04-02
S104469,1,Core Engineering,Job,2023-12-20
S104470,4,Cybersecurity,Higher Studies,2024-02-10
S104471,1,Product/Management,Job,2024-01-26
S104472,3,Core Engineering,Job,12-24-2023
S104473,0,AI/ML,Job,29/02/2024
S104474,0,Data Science,Higher Studies,2023/11/27 17:31:44
S104475,0,AI/ML,Job,2024-03-07
S104476,2,Product/Management,Startup/Entrepreneurship,12-26-2023
S104477,2,Data Science,Job,11-12-2023
S104478,3,AI/ML,Job,2023-11-03
S104479,1,Core Engineering,Job,01/11/2023
S104480,0,Product/Management,Job,2024-01-16
S104481,0,Product/Management,Job,2024-03-09
S104482,0,Product/Management,Job,2023-12-15
S104483,1,AI/ML,Job,2024-02-07
S104484,2,Product/Management,Job,02-27-2024
S104485,0,Data Science,Job,2023-11-12
S104486,2,Data Science,Higher Studies,05/11/2023
S104487,0,Web Development,Job,2023-12-14
S104488,0,Product/Management,Startup/Entrepreneurship,2023-11-09
S104489,1,Cybersecurity,Higher Studies,16/12/2023
S104490,2,AI/ML,Job,14/12/2023
S104491,1,Core Engineering,Startup/Entrepreneurship,21/03/2024
S104492,3,Core Engineering,Startup/Entrepreneurship,2024-02-16
S104493,0,Web Development,Job,11/02/2024
S104494,3,Web Development,Higher Studies,05/01/2024
S104495,1,Web Development,Job,2024-03-13
S104496,3,Core Engineering,Job,2023-12-05
S104497,0,Core Engineering,Job,04/01/2024
S104498,1,Core Engineering,Higher Studies,2023-11-22
S104499,1,Cybersecurity,Higher Studies,2024-01-20
S104500,3,AI/ML,Job,2024-03-26
S104501,1,Data Science,Job,05/12/2023
S104502,3,Core Engineering,Job,2023-11-12
S104503,0,AI/ML,Job,2023-12-27
S104504,1,AI/ML,Job,2024-04-13
S104505,1,Cybersecurity,Job,2023-11-14
S104506,1,Data Science,Job,30/01/2024
S104507,1,Cybersecurity,Job,19/02/2024
S104508,0,Web Development,Job,2024-01-24
S104509,0,Data Science,Job,2024-03-24
S104510,0,AI/ML,Higher Studies,24/12/2023
S104511,1,Product/Management,Job,03-16-2024
S104512,0,Core Engineering,Higher Studies,13/12/2023
S104513,1,Data Science,Higher Studies,2024-03-28
S104514,1,Product/Management,Startup/Entrepreneurship,2024-01-12
S104515,3,AI/ML,,2024-03-25
S104516,1,AI/ML,Job,2024-02-04
S104517,2,Web Development,Job,2023-11-18
S104518,1,Core Engineering,Startup/Entrepreneurship,2024-03-05
S104519,1,AI/ML,Job,2023-12-19
S104520,0,AI/ML,Job,2024-01-19
S104521,2,Core Engineering,Job,01/04/2024
S104522,3,Cybersecurity,Higher Studies,10/02/2024
S104523,2,AI/ML,Job,2024/01/25 01:22:58
S104524,3,Cybersecurity,Higher Studies,20/11/2023
S104525,2,Cybersecurity,Higher Studies,2023-12-03
S104526,0,Core Engineering,Job,2024-01-10
S104527,0,AI/ML,Job,2023-11-07
S104528,1,AI/ML,Higher Studies,2023-11-20
S104529,2,Cybersecurity,Job,16/12/2023
S104530,1,Web Development,Job,02/01/2024
S104531,2,Cybersecurity,Higher Studies,12-23-2023
S104532,1,AI/ML,Job,2023-12-06
S104533,0,Data Science,Job,2024-03-11
S104534,1,Cybersecurity,Job,2024-02-26
S104535,2,Cybersecurity,Job,2024-02-25
S104536,2,AI/ML,Higher Studies,09/11/2023
S104537,2,AI/ML,Higher Studies,2024-03-19
S104538,2,Product/Management,Job,24/12/2023
S104539,2,AI/ML,Job,2024-01-16
S104540,0,Core Engineering,Job,2023-12-11
S104541,2,Data Science,Job,01/01/2024
S104542,2,Web Development,Job,2023-12-31
S104543,1,Core Engineering,Job,14/02/2024
S104544,0,Cybersecurity,Job,17/02/2024
S104545,1,,Job,2024-04-09
S104546,0,Cybersecurity,Job,03-14-2024
S104547,0,Product/Management,Job,21/11/2023
S104548,0,Product/Management,Job,08/03/2024
S104549,3,Cybersecurity,Job,2023-12-29
S104550,0,Web Development,Job,04/01/2024
S104551,2,Data Science,Job,2023-12-19
S104552,1,Web Development,Higher Studies,2023-12-11
S104553,5,Data Science,Job,2024-03-16
S104554,0,Cybersecurity,Job,2024-02-12
S104555,1,AI/ML,Higher Studies,2024-03-05
S104556,0,Web Development,Higher Studies,19/03/2024
S104557,1,Data Science,,11-05-2023
S104558,2,Product/Management,Job,17/01/2024
S104559,0,Cybersecurity,Job,20/11/2023
S104560,0,Cybersecurity,Higher Studies,2024-01-14
S104561,0,Data Science,Higher Studies,01-14-2024
S104562,3,Core Engineering,Job,2024-01-31
S104563,1,Product/Management,Job,2024-03-31
S104564,2,Web Development,Job,2023-12-02
S104565,1,Cybersecurity,Job,23/12/2023
S104566,0,Product/Management,Job,21/01/2024
S104567,0,Web Development,Job,2023-12-29
S104568,1,AI/ML,Job,2024-02-21
S104569,1,Product/Management,Job,16/02/2024
S104570,2,Core Engineering,Job,2024-03-10
S104571,0,Core Engineering,Startup/Entrepreneurship,2024-02-17
S104572,0,Web Development,Job,2024-02-08
S104573,1,Core Engineering,Job,2024-01-30
S104574,3,Core Engineering,Higher Studies,2023-12-01
S104575,1,Product/Management,Job,2024-02-08
S104576,2,AI/ML,Higher Studies,03-28-2024
S104577,1,Data Science,Higher Studies,2023-11-20
S104578,2,Cybersecurity,Job,19/03/2024
S104579,5,Product/Management,Higher Studies,03/02/2024
S104580,1,AI/ML,Job,2023-12-27
S104581,0,Web Development,Higher Studies,11/01/2024
S104582,1,Product/Management,Higher Studies,04-14-2024
S104583,0,Cybersecurity,Higher Studies,03-09-2024
S104584,1,Data Science,,11-27-2023
S104585,2,Cybersecurity,Startup/Entrepreneurship,16/01/2024
S104586,1,Web Development,Higher Studies,20/02/2024
S104587,3,Cybersecurity,Higher Studies,2023-12-29
S104588,0,Product/Management,Higher Studies,2024-03-19
S104589,2,Core Engineering,Higher Studies,2024-04-03
S104590,2,AI/ML,Higher Studies,20/02/2024
S104591,0,Cybersecurity,Job,2024-03-14
S104592,1,Data Science,Job,03-30-2024
S104593,0,,Job,23/02/2024
S104594,1,Web Development,Higher Studies,2023-12-10
S104595,2,Core Engineering,HIGHER STUDIES,2024-03-20
S104596,0,Data Science,Job,01/01/2024
S104597,2,Core Engineering,Startup/Entrepreneurship,2024-03-25
S104598,0,Core Engineering,Job,2023-12-07
S104599,0,AI/ML,Higher Studies,2023-11-17
S104600,3,Web Development,Higher Studies,01/01/2024
S104601,2,Product/Management,Higher Studies,07/01/2024
S104602,0,AI/ML,Startup/Entrepreneurship,2024-04-05
S104603,0,Core Engineering,Startup/Entrepreneurship,2024-01-23
S104604,3,AI/ML,Job,2023-12-08
S104605,1,Data Science,Higher Studies,09/11/2023
S104606,3,Web Development,Startup/Entrepreneurship,12-08-2023
S104607,1,Data Science,Startup/Entrepreneurship,2024-04-14
S104608,0,Data Science,Higher Studies,2024-02-06
S104609,2,AI/ML,Job,2023-12-06
S104610,0,Data Science,Job,2024-02-05
S104611,2,Data Science,Job,22/02/2024
S104612,3,Cybersecurity,startup/entrepreneurship,2023-11-26
S104613,0,Cybersecurity,Higher Studies,03/02/2024
S104614,3,Web Development,Job,2024-02-10
S104615,0,Cybersecurity,Startup/Entrepreneurship,2023-12-23
S104616,1,Web Development,Job,04-07-2024
S104617,0,Data Science,Job,2023-11-01
S104618,1,Cybersecurity,Job,14/12/2023
S104619,0,Product/Management,Higher Studies,2024-02-05
S104620,0,Data Science,Startup/Entrepreneurship,2024-02-13
S104621,0,Core Engineering,Job,2024-03-07
S104622,3,AI/ML,Job,10/01/2024
S104623,0,Web Development,Job,2024-02-03
S104624,3,Data Science,Job,2024-04-09
S104625,3,AI/ML,Job,2024-03-23
S104626,2,Core Engineering,Job,28/01/2024
S104627,0,Product/Management,Job,2023-12-04
S104628,0,Product/Management,Job,2023-12-21
S104629,1,Cybersecurity,Higher Studies,2023-12-11
S104630,2,Cybersecurity,Job,2024-02-10
S104631,1,Core Engineering,Higher Studies,2024-01-11
S104632,0,Product/Management,Higher Studies,2024-01-04
S104633,0,Data Science,Job,2024-03-25
S104634,1,Web Development,Job,04/12/2023
S104635,2,Cybersecurity,Job,10/02/2024
S104636,1,AI/ML,Job,2024-03-10
S104637,1,Product/Management,Higher Studies,2023-12-05
S104638,1,Data Science,Job,03/12/2023
S104639,0,Product/Management,Job,2023-12-14
S104640,1,Cybersecurity,Higher Studies,02-29-2024
S104641,0,,Higher Studies,2024-01-06
S104642,1,Data Science,Startup/Entrepreneurship,10/04/2024
S104643,2,AI/ML,Higher Studies,05/11/2023
S104644,0,Web Development,Job,11/01/2024
S104645,0,Web Development,Higher Studies,2024-02-23
S104646,0,Data Science,Higher Studies,07/03/2024
S104647,1,Product/Management,Higher Studies,05/01/2024
S104648,1,Cybersecurity,Job,2023-11-09
S104649,1,AI/ML,,2023-12-28
S104650,0,Cybersecurity,Startup/Entrepreneurship,2024/01/17 14:18:19
S104651,0,AI/ML,Higher Studies,2024-03-18
S104652,2,Data Science,Job,05/01/2024
S104653,1,Web Development,Higher Studies,05/03/2024
S104654,0,Web Development,Higher Studies,2024-02-24
S104655,1,Data Science,Higher Studies,2024-03-10
S104656,0,Web Development,Job,2024-03-28
S104657,1,Cybersecurity,Job,12-24-2023
S104658,3,Web Development,Higher Studies,20/03/2024
S104659,4,Product/Management,Higher Studies,2024-04-02
S104660,1,Core Engineering,Job,2024-02-12
S104661,0,Data Science,Higher Studies,06/12/2023
S104662,2,Cybersecurity,Higher Studies,2023-12-02
S104663,2,Web Development,Startup/Entrepreneurship,04-06-2024
S104664,2,Product/Management,Job,2024-04-09
S104665,0,AI/ML,Higher Studies,2023-12-11
S104666,1,Data Science,Startup/Entrepreneurship,2024-02-10
S104667,1,Cybersecurity,Higher Studies,2024-02-08
S104668,0,Web Development,Higher Studies,11-18-2023
S104669,2,Web Development,Job,2024-03-30
S104670,1,Cybersecurity,Job,20/02/2024
S104671,0,Core Engineering,Higher Studies,2024-02-26
S104672,1,Product/Management,Job,2024-03-28
S104673,3,Product/Management,Higher Studies,2024-04-07
S104674,0,Cybersecurity,Job,2023-11-13
S104675,2,Cybersecurity,Job,2024-01-30
S104676,3,Core Engineering,Job,2024-01-17
S104677,0,Cybersecurity,Job,2024-02-24
S104678,1,AI/ML,Job,2024-01-07
S104679,0,Web Development,Higher Studies,02/12/2023
S104680,0,,Job,01/12/2023
S104681,0,Core Engineering,Job,2024-03-19
S104682,2,AI/ML,Higher Studies,27/02/2024
S104683,1,AI/ML,Higher Studies,2023-12-20
S104684,1,Product/Management,Higher Studies,2023-12-07
S104685,2,AI/ML,Higher Studies,03-24-2024
S104686,0,Core Engineering,Startup/Entrepreneurship,2024-01-12
S104687,1,Product/Management,Job,2024-03-19
S104688,2,Product/Management,Job,12/11/2023
S104689,3,Product/Management,Higher Studies,2024-01-06
S104690,1,Data Science,Higher Studies,2023-12-16
S104691,3,Core Engineering,Higher Studies,2024-02-20
S104692,1,Core Engineering,Startup/Entrepreneurship,2024-03-06
S104693,0,AI/ML,job,2023-12-15
S104694,0,Product/Management,Job,19/12/2023
S104695,0,Data Science,Job,29/03/2024
S104696,1,Web Development,Job,2023-11-17
S104697,2,Product/Management,Higher Studies,2023-11-16
S104698,1,,Job,2024-01-23
S104699,1,AI/ML,Startup/Entrepreneurship,2023-12-22
S104700,2,Product/Management,Job,2024-01-22
S104701,0,Web Development,Higher Studies,23/03/2024
S104702,2,Web Development,Job,2023-11-01
S104703,1,Data Science,Job,2024-04-05
S104704,3,Data Science,Job,2024-04-07
S104705,0,Data Science,Job,10/11/2023
S104706,3,AI/ML,Higher Studies,2024-03-05
S104707,2,Product/Management,Job,2023-12-16
S104708,1,Web Development,Startup/Entrepreneurship,15/12/2023
S104709,4,Data Science,Startup/Entrepreneurship,2024/03/02 06:03:30
S104710,0,Core Engineering,Higher Studies,2024-01-10
S104711,1,Web Development,Job,2024-01-04
S104712,5,Product/Management,Job,2023-11-14
S104713,0,Data Science,Job,01/03/2024
S104714,1,Data Science,Job,16/03/2024
S104715,0,AI/ML,Startup/Entrepreneurship,14/11/2023
S104716,1,Product/Management,Job,2023-11-29
S104717,0,,Higher Studies,2024-03-13
S104718,4,Data Science,Job,11/04/2024
S104719,2,AI/ML,Higher Studies,08/01/2024
S104720,1,Web Development,Job,2023/11/04 11:31:39
S104721,2,AI/ML,Higher Studies,2024-03-24
S104722,1,Web Development,Job,2024-03-02
S104723,2,Web Development,Higher Studies,2023-11-20
S104724,2,Cybersecurity,Startup/Entrepreneurship,2024-03-08
S104725,0,,Startup/Entrepreneurship,2024-01-16
S104726,0,Product/Management,Job,02-17-2024
S104727,1,AI/ML,Job,2024-04-09
S104728,0,Data Science,Job,2024-03-21
S104729,3,Core Engineering,Higher Studies,2024-01-19
S104730,2,Product/Management,Job,2024-01-29
S104731,1,Product/Management,Higher Studies,2024-01-08
S104732,3,Web Development,Higher Studies,04/04/2024
S104733,0,Cybersecurity,Job,2024-01-13
S104734,1,Core Engineering,Job,19/03/2024
S104735,4,Cybersecurity,Job,2024-04-13
S104736,1,Core Engineering,Higher Studies,2024-03-31
S104737,0,Core Engineering,Job,2024-02-27
S104738,1,Data Science,Higher Studies,29/11/2023
S104739,1,Product/Management,Job,2023-12-09
S104740,1,AI/ML,Higher Studies,13/12/2023
S104741,2,Core Engineering,HIGHER STUDIES,05/11/2023
S104742,0,Cybersecurity,Job,2024-04-01
S104743,1,Product/Management,Job,2024-01-16
S104744,1,Data Science,Higher Studies,2023-11-15
S104745,2,Web Development,Higher Studies,2024-01-16
S104746,3,Product/Management,Startup/Entrepreneurship,12-04-2023
S104747,3,Web Development,Job,2023-12-18
S104748,3,Product/Management,Higher Studies,25/11/2023
S104749,0,Web Development,Job,2023-12-16
S104750,0,Web Development,Job,2023-11-18
S104751,2,Core Engineering,Higher Studies,25/02/2024
S104752,2,Cybersecurity,Startup/Entrepreneurship,2024-03-30
S104753,2,AI/ML,Job,04-11-2024
S104754,3,Web Development,Job,2024-03-03
S104755,2,Data Science,Higher Studies,2024-01-04
S104756,2,Core Engineering,Job,2024/04/05 09:44:28
S104757,1,Data Science,Job,2024-03-05
S104758,1,Product/Management,Job,2024-01-27
S104759,1,Core Engineering,Higher Studies,24/11/2023
S104760,0,AI/ML,Job,2023-11-18
S104761,0,Product/Management,Job,2023/11/08 11:58:25
S104762,0,Cybersecurity,Job,2024-04-09
S104763,3,AI/ML,Higher Studies,2024/03/14 02:57:38
S104764,3,Product/Management,Job,2024-04-03
S104765,0,Web Development,Job,2023-12-04
S104766,1,Data Science,Job,2023-11-23
S104767,0,Cybersecurity,Job,01-31-2024
S104768,1,Data Science,Higher Studies,2024-02-17
S104769,0,Data Science,Higher Studies,2024-01-10
S104770,0,Web Development,Job,2024-01-03
S104771,1,Core Engineering,Startup/Entrepreneurship,23/01/2024
S104772,0,Product/Management,Higher Studies,2024-02-08
S104773,0,Data Science,Job,20/01/2024
S104774,1,Data Science,Higher Studies,2024-03-16
S104775,2,AI/ML,Startup/Entrepreneurship,2024-03-16
S104776,1,,Job,29/03/2024
S104777,1,Core Engineering,Higher Studies,2024-02-07
S104778,3,Core Engineering,Higher Studies,2024-03-01
S104779,0,AI/ML,Higher Studies,2023-12-30
S104780,3,AI/ML,Job,18/01/2024
S104781,0,Product/Management,Job,2023-11-21
S104782,1,Data Science,Higher Studies,02-26-2024
S104783,2,AI/ML,Job,2024-02-21
S104784,0,Web Development,Higher Studies,2024-03-20
S104785,1,Product/Management,Higher Studies,23/02/2024
S104786,1,Core Engineering,Higher Studies,02/04/2024
S104787,4,Core Engineering,Job,03-23-2024
S104788,1,Core Engineering,Higher Studies,2023-12-27
S104789,1,Product/Management,Job,2023-11-17
S104790,1,AI/ML,,2023-12-14
S104791,1,Product/Management,Job,2024-02-29
S104792,1,Web Development,Job,2024-03-14
S104793,2,Web Development,Job,11/01/2024
S104794,0,Cybersecurity,HIGHER STUDIES,2024-02-08
S104795,1,Web Development,Job,02-17-2024
S104796,3,Data Science,Higher Studies,09/02/2024
S104797,2,Product/Management,Job,04-02-2024
S104798,1,Data Science,Job,01/01/2024
S104799,2,AI/ML,Job,02/01/2024
S104800,3,Core Engineering,Job,25/12/2023
S104801,1,Core Engineering,Job,2023-11-11
S104802,3,Data Science,Higher Studies,04-04-2024
S104803,1,Cybersecurity,Job,23/11/2023
S104804,1,AI/ML,Higher Studies,30/12/2023
S104805,1,Cybersecurity,Higher Studies,2023-12-06
S104806,1,Core Engineering,Job,16/11/2023
S104807,1,Cybersecurity,Startup/Entrepreneurship,2024-01-30
S104808,2,Web Development,Job,2024-04-02
S104809,1,Web Development,STARTUP/ENTREPRENEURSHIP,2023-12-20
S104810,0,Core Engineering,Job,2023/12/03 00:27:37
S104811,2,Product/Management,Job,12-13-2023
S104812,1,Cybersecurity,Higher Studies,04/04/2024
S104813,0,AI/ML,job,2024-01-29
S104814,1,AI/ML,Job,19/03/2024
